Frame,Sub Frame,"Difference Between Positions - Unlabeled Track (4)➞Unlabeled Track (3)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
555338,0,"0.416645","119.438","-0.883836"
555339,0,"0.432393","119.445","-0.825362"
555340,0,"0.583712","119.948","0.100274"
555341,0,"0.70267","119.993","0.380226"
555342,0,"0.433677","119.47","-0.836688"
555343,0,"0.361567","119.445","-0.983973"
555344,0,"0.34395","119.436","-1.01563"
555345,0,"0.352673","119.403","-1.00525"
555346,0,"0.59818","119.968","0.128887"
555347,0,"0.698536","119.987","0.382915"
555348,0,"0.419492","119.49","-0.738027"
555349,0,"0.595988","119.974","0.175254"
555350,0,"0.359067","119.447","-0.935227"
555351,0,"0.374966","119.439","-0.953537"
555352,0,"0.437343","119.442","-0.832902"
555353,0,"0.568687","119.969","0.136978"
555354,0,"0.428416","119.457","-0.84235"
555355,0,"0.357855","119.438","-0.971713"
555356,0,"0.517268","119.954","0.00934793"
555357,0,"0.328752","119.432","-1.04184"
555358,0,"0.565509","119.96","0.0525358"
555359,0,"0.432237","119.453","-0.866416"
555360,0,"0.704749","120.004","0.382134"
555361,0,"0.442058","119.445","-0.809538"
555362,0,"0.345532","119.419","-1.03544"
555363,0,"0.364382","119.45","-0.95018"
555364,0,"0.590233","119.945","0.103379"
555365,0,"0.541732","119.975","0.0562596"
555366,0,"0.579092","119.964","0.0258745"
555367,0,"0.521668","119.962","0.0103826"
555368,0,"0.361817","119.42","-0.97215"
555369,0,"0.348776","119.408","-1.03079"
555370,0,"0.425891","119.453","-0.864015"
555371,0,"0.467293","119.458","-0.781657"
555372,0,"0.699771","119.987","0.407287"
555373,0,"0.365015","119.428","-0.959322"
555374,0,"0.3265","119.428","-1.01533"
555375,0,"0.337087","119.43","-1.00236"
555376,0,"0.597313","119.968","0.136609"
555377,0,"0.587378","119.959","0.0780722"
555378,0,"0.575193","119.963","0.0964953"
555379,0,"0.590611","119.961","0.0502716"
555380,0,"0.347361","119.447","-0.991852"
555381,0,"0.359942","119.443","-0.920507"
555382,0,"0.600389","119.964","0.116224"
555383,0,"0.589321","119.976","0.116268"
555384,0,"0.588287","119.967","0.0382084"
555385,0,"0.362193","119.429","-1.01395"
555386,0,"0.322467","119.399","-1.06606"
555387,0,"0.371188","119.439","-0.993267"
555388,0,"0.495335","119.965","-0.0101723"
555389,0,"0.41142","119.432","-0.899858"
555390,0,"0.607154","119.973","0.111453"
555391,0,"0.362544","119.411","-0.989282"
555392,0,"0.34784","119.452","-0.947949"
555393,0,"0.354343","119.452","-0.943255"
555394,0,"0.576729","119.963","0.0737022"
555395,0,"0.344805","119.452","-1.00088"
555396,0,"0.579743","119.969","0.111815"
555397,0,"0.349681","119.442","-0.947472"
555398,0,"0.514926","119.965","0.0434738"
555399,0,"0.521852","119.974","0.0282513"
555400,0,"0.390057","119.466","-0.889002"
555401,0,"0.440387","119.45","-0.835392"
555402,0,"0.573221","119.966","0.0917699"
555403,0,"0.578768","119.958","0.10772"
555404,0,"0.335538","119.41","-1.04451"
555405,0,"0.359492","119.435","-0.962008"
555406,0,"0.426634","119.439","-0.880719"
555407,0,"0.3934","119.448","-0.935894"
555408,0,"0.455503","119.393","-0.900828"
555409,0,"0.378985","119.398","-1.0306"
555410,0,"0.405475","119.412","-0.991821"
555411,0,"0.46371","119.425","-0.844074"
555412,0,"0.536373","119.417","-0.785094"
555413,0,"0.603692","119.977","0.139663"
555414,0,"0.505949","119.47","-0.633766"
555415,0,"0.388246","119.468","-0.893991"
555416,0,"0.335078","119.441","-0.985521"
555417,0,"0.324461","119.44","-1.00515"
555418,0,"0.494494","119.958","-0.0191627"
555419,0,"0.591901","119.94","0.0476255"
555420,0,"0.444239","119.452","-0.840054"
555421,0,"0.362815","119.427","-0.987142"
555422,0,"0.352956","119.433","-1.00672"
555423,0,"0.356632","119.448","-0.931261"
555424,0,"0.595198","119.973","0.0821917"
555425,0,"0.698345","120.011","0.410049"
555426,0,"0.43849","119.441","-0.886863"
555427,0,"0.356759","119.419","-1.00393"
555428,0,"0.313865","119.433","-1.0924"
555429,0,"0.343101","119.421","-1.06696"
555430,0,"0.490489","119.476","-0.620796"
555431,0,"0.388854","119.46","-0.846631"
555432,0,"0.602132","119.981","0.174585"
555433,0,"0.593064","119.959","0.137445"
555434,0,"0.42941","119.434","-0.88218"
555435,0,"0.347284","119.414","-1.02166"
555436,0,"0.415173","119.452","-0.910786"
555437,0,"0.71176","119.987","0.411384"
555438,0,"0.565883","119.966","0.0925608"
555439,0,"0.36464","119.469","-0.949154"
555440,0,"0.368791","119.42","-1.01968"
555441,0,"0.351803","119.445","-0.93255"
555442,0,"0.706595","120.001","0.418471"
555443,0,"0.604508","119.965","0.136767"
555444,0,"0.398292","119.427","-0.918287"
555445,0,"0.451093","119.452","-0.804973"
555446,0,"0.368828","119.44","-0.994631"
555447,0,"0.36669","119.437","-0.986129"
555448,0,"0.381398","119.454","-0.977387"
555449,0,"0.577853","119.946","0.0642914"
555450,0,"0.415111","119.446","-0.910517"
555451,0,"0.334096","119.437","-0.993649"
555452,0,"0.333992","119.442","-0.997701"
555453,0,"0.348502","119.435","-1.00343"
555454,0,"0.589921","119.939","0.0427233"
555455,0,"0.411543","119.43","-0.937958"
555456,0,"0.587883","119.955","0.109638"
555457,0,"0.451355","119.44","-0.834673"
555458,0,"0.360139","119.459","-0.967354"
555459,0,"0.361153","119.423","-1.01075"
555460,0,"0.41295","119.433","-0.923218"
555461,0,"0.45443","119.448","-0.859841"
555462,0,"0.476394","119.454","-0.845545"
555463,0,"0.464358","119.417","-0.849902"
555464,0,"0.437849","119.424","-0.910074"
555465,0,"0.441578","119.423","-0.897948"
555466,0,"0.60362","119.964","0.134634"
555467,0,"0.577465","119.962","0.104012"
555468,0,"0.42691","119.414","-0.948252"
555469,0,"0.50839","119.948","0.017829"
555470,0,"0.371807","119.429","-0.92341"
555471,0,"0.340612","119.421","-0.979447"
555472,0,"0.58368","119.968","0.155222"
555473,0,"0.428413","119.427","-0.886106"
555474,0,"0.593911","119.975","0.150949"
555475,0,"0.367724","119.439","-0.925408"
555476,0,"0.334483","119.443","-0.996169"
555477,0,"0.375829","119.458","-0.946755"
555478,0,"0.610378","119.982","0.194729"
555479,0,"0.510634","119.965","0.0205028"
555480,0,"0.426238","119.469","-0.856481"
555481,0,"0.347459","119.45","-0.985466"
555482,0,"0.364536","119.447","-0.943082"
555483,0,"0.382057","119.409","-0.991857"
555484,0,"0.556676","119.963","0.0565024"
555485,0,"0.522127","119.499","-0.558564"
555486,0,"0.600421","119.974","0.0965553"
555487,0,"0.418832","119.433","-0.844194"
555488,0,"0.343817","119.451","-1.00758"
555489,0,"0.321728","119.434","-1.02422"
555490,0,"0.607791","119.98","0.157463"
555491,0,"0.585024","119.965","0.108321"
555492,0,"0.565553","119.97","0.0809252"
555493,0,"0.441226","119.432","-0.870948"
555494,0,"0.359207","119.451","-0.924061"
555495,0,"0.451037","119.441","-0.839366"
555496,0,"0.743835","120.008","0.474843"
555497,0,"0.699057","120.01","0.434039"
555498,0,"0.564952","119.967","0.111184"
555499,0,"0.331774","119.444","-1.03488"
555500,0,"0.352789","119.444","-0.981937"
555501,0,"0.333296","119.445","-1.00152"
555502,0,"0.558375","119.98","0.0874767"
555503,0,"0.426615","119.446","-0.839355"
555504,0,"0.522969","119.479","-0.550732"
555505,0,"0.412165","119.415","-0.915255"
555506,0,"0.383072","119.435","-0.965248"
555507,0,"0.338682","119.419","-1.01992"
555508,0,"0.605439","119.972","0.113623"
555509,0,"0.587826","119.976","0.111288"
555510,0,"0.409559","119.479","-0.86813"
555511,0,"0.346453","119.443","-0.97955"
555512,0,"0.37348","119.434","-1.01332"
555513,0,"0.58023","119.94","0.0856302"
555514,0,"0.446812","119.459","-0.849682"
555515,0,"0.592551","119.956","0.132414"
555516,0,"0.712668","120.001","0.440703"
555517,0,"0.357215","119.43","-0.980997"
555518,0,"0.337443","119.421","-0.985128"
555519,0,"0.352923","119.42","-1.03719"
555520,0,"0.423847","119.45","-0.84727"
555521,0,"0.516767","119.971","-0.00198303"
555522,0,"0.593856","119.958","0.0917004"
555523,0,"0.539371","119.956","0.0102842"
555524,0,"0.331156","119.439","-1.01658"
555525,0,"0.357236","119.411","-1.02743"
555526,0,"0.432583","119.454","-0.823883"
555527,0,"0.708046","119.986","0.40467"
555528,0,"0.41048","119.472","-0.85007"
555529,0,"0.503462","119.943","-0.0438365"
555530,0,"0.366417","119.411","-1.03165"
555531,0,"0.371235","119.431","-0.955272"
555532,0,"0.57775","119.961","0.0891966"
555533,0,"0.448094","119.449","-0.809319"
555534,0,"0.42808","119.469","-0.840312"
555535,0,"0.408626","119.437","-0.856554"
555536,0,"0.43283","119.417","-0.876122"
555537,0,"0.338077","119.425","-1.02461"
555538,0,"0.606899","119.967","0.173659"
555539,0,"0.587324","119.959","0.108185"
555540,0,"0.583762","119.947","0.0691425"
555541,0,"0.33287","119.425","-1.04051"
555542,0,"0.37649","119.42","-0.944407"
555543,0,"0.333127","119.405","-1.07303"
555544,0,"0.592285","119.966","0.106807"
555545,0,"0.621456","119.99","0.198583"
555546,0,"0.515982","119.497","-0.584972"
555547,0,"0.431956","119.433","-0.818255"
555548,0,"0.354529","119.425","-1.02453"
555549,0,"0.389351","119.44","-0.970607"
555550,0,"0.449579","119.433","-0.893656"
555551,0,"0.595187","119.954","0.111481"
555552,0,"0.582727","119.966","0.0634155"
